id,dataset,description,group
416,SSCMVG,Cytomegalovirus Genotypes - Urine (Surplus),Laboratory
417,SSCT,Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results,Laboratory
418,SSDEET,DEET Metabolites - Urine - Surplus,Laboratory
419,SSDFS,Autoantibodies - Anti-DFS70 Autoantibody Analyses (Surplus),Laboratory
420,SSEBV,Epstein-Barr Virus (VCA IgG) - Serum (Surplus),Laboratory
421,SSFA,Fatty Acids - Plasma (Surplus),Laboratory
422,SSFLRT,Flame Retardant Metabolites - Urine (Surplus),Laboratory
423,SSHCV,Hepatitis C Antibody Reflex Testing - Serum (Surplus),Laboratory
424,SSHCVR,Hepatitis C RNA (HCV-RNA) & HCV Genotype (Surplus),Laboratory
425,SSHE4,Human epididymal secretory protein E4 (HE4) - Serum (Surplus),Laboratory
426,SSHEPC,Hepatitis C: Confirmed Antibody (INNO-LIA),Laboratory
427,SSHPV,Human Papillomavirus (HPV) Viral Load - Oral Rinse - Oral High-Risk HPV Infections (Surplus),Laboratory
428,SSKL,Klotho - Serum (Surplus),Laboratory
429,SSMEL,Melamine - Urine (Surplus),Laboratory
430,SSMHHT,"Mono-2-ethyl-5-hydroxyhexyl terephthalate, mono-2-ethyl-5-carboxypentyl terephthalate, and monooxoisononyl phthalate - Urine (Surplus)",Laboratory
431,SSNEON,Neonicotinoids - Urine - Surplus,Laboratory
432,SSNH4THY,Thyroid Profile (Surplus),Laboratory
433,SSNO3P,"Perchlorate, Nitrate & Thiocyanate - Urine (Surplus)",Laboratory
434,SSPCB,Non-dioxin-like Polychlorinated Biphenyls - Pooled Samples (Surplus Sera),Laboratory
435,SSPFAC,Perfluoroalkyl and Polyfluoroalkyl Substances in US children 3-11 Years of Age,Laboratory
436,SSPFSU,Perfluoroalkyl and Polyfluoroalkyl Substances,Laboratory
437,SSPHTE,Phthalates and Plasticizers Metabolites - Urine (Surplus),Laboratory
438,SSPOLI,"Poliovirus Serotypes 1, 2, & 3 Antibodies - Serum (Surplus)",Laboratory
439,SSPST,Pesticides - Organochlorine Metabolites - Serum - Pooled Samples (Surplus),Laboratory
440,SSPT,Pertussis and tetanus – Serum (Surplus),Laboratory
441,SSQFEV,Coxiella Burnetii (Q Fever) Antibodies - Serum (Surplus),Laboratory
442,SSSAL,Salmonella & Campylobacter Antibodies (Surplus),Laboratory
443,SSSNFL,Serum Neurofilament Light Chain - Serum,Laboratory
444,SSTERP,Terpenes – Serum (Surplus),Laboratory
445,SSTOCA,Antibody to Toxocara spp. (Surplus),Laboratory
446,SSTOXO,Toxoplasma Gondii Antibody - Serum (Surplus),Laboratory
447,SSTROP,High-sensitivity cardiac troponins (Surplus),Laboratory
448,SSUCSH,Cytomegalovirus shedding - Urine (Surplus),Laboratory
449,SSUSG,Urine Specific Gravity Measurement (Surplus),Laboratory
450,TGEMA,Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA),Laboratory
451,THYROD,Thyroid Profile,Laboratory
452,TRICH,Trichomonas - Urine,Laboratory
453,TSNA,Tobacco-specific Nitrosamines (TSNAs) - Urine,Laboratory
454,TST,Total Testosterone,Laboratory
455,UADM,Aromatic Diamines - Urine,Laboratory
456,UAM,Atrazine and Metabolites,Laboratory
457,UASS,Arsenics - Total & Speciated - Urine - Special Sample,Laboratory
458,UCOSMO,Osmolality - Urine,Laboratory
459,UCOTS,"Cotinine, Hydroxycotinine, & Other Nicotine Metabolites and Analogs - Urine - Special Sample",Laboratory
460,UFLDE,Fluoride - Urine,Laboratory
461,UHM,Metals - Urine,Laboratory
462,UHMS,Metals - Urine - Special Sample,Laboratory
463,UMS,Metals - Urine - Special Sample,Laboratory
464,UPHOPM,"Pyrethroids, Herbicides, & OP Metabolites - Urine",Laboratory
465,UPP,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",Laboratory
466,UTASS,Arsenic - Total - Urine - Special Sample,Laboratory
467,UVOCS,Volatile Organic Compound (VOC) Metabolites - Urine - Special Sample,Laboratory
468,VIT_B6,Vitamin B6,Laboratory
469,VITB12,Vitamin B12,Laboratory
470,VNA,Volatile N-Nitrosamine Compounds (VNAs) - Urine,Laboratory
471,VNAS,Volatile N-Nitrosamine Compounds (VNAs) - Urine - Special Sample,Laboratory
472,VOC,Volatile Organic Compounds - Water & Related Questionnaire Items,Laboratory
473,VOCMWB,Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood,Laboratory
474,VOCWBS,Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample,Laboratory
475,WPIN,"Perchlorate, Nitrate & Iodide - Tap Water",Laboratory
476,AGQ,Allergy,Questionnaire
477,AQQ,Air Quality,Questionnaire
478,ARQ,Arthritis,Questionnaire
479,BHQ,Bowel Health,Questionnaire
480,CIQDEP,Mental Health - Depression,Questionnaire
481,CIQPAN,Mental Health - Panic Disorder,Questionnaire
482,CKQ,Creatine Kinase,Questionnaire
483,CSQ,Taste & Smell,Questionnaire
484,HCQ,Hepatitis C Follow Up,Questionnaire
485,KIQ_P,Prostate Conditions,Questionnaire
486,PSQ,Prostate Specific Antigen Follow-up,Questionnaire
487,RXQANA,Analgesic Pain Relievers,Questionnaire
488,VIT_2,,Laboratory
489,DXXAAC,Dual-Energy X-ray Absorptiometry - Abdominal Aortic Calcification,Examination
