section_name,short_description,about,suggested_actions
MANAGE 2.2,Mechanisms are in place and applied to sustain the value of deployed AI systems.,"System performance and trustworthiness may evolve and shift over time, once an AI system is deployed and put into operation. This phenomenon, generally known as drift, can degrade the value of the AI system to the organization and increase the likelihood of negative impacts. Regular monitoring of AI systems’ performance and trustworthiness enhances organizations’ ability to detect and respond to drift, and thus sustain an AI system’s value once deployed. Processes and mechanisms for regular monitoring address system functionality and behavior - as well as impacts and alignment with the values and norms within the specific context of use. For example, considerations regarding impacts on personal or public safety or privacy may include limiting high speeds when operating autonomous vehicles or restricting illicit content recommendations for minors. Regular monitoring activities can enable organizations to systematically and proactively identify emergent risks and respond according to established protocols and metrics. Options for organizational responses include 1) avoiding the risk, 2)accepting the risk, 3) mitigating the risk, or 4) transferring the risk. Each of these actions require planning and resources. Organizations are encouraged to establish risk management protocols with consideration of the trustworthiness characteristics, the deployment context, and real world impacts.","• Establish risk controls considering trustworthiness characteristics, including: • Data management, quality, and privacy (e.g. minimization, rectification or deletion requests) controls as part of organizational data governance policies. • Machine learning and end-point security countermeasures (e.g., robust models, differential privacy, authentication, throttling). • Business rules that augment, limit or restrict AI system outputs within certain contexts • Utilizing domain expertise related to deployment context for continuous improvement and TEVV across the AI lifecycle. • Development and regular tracking of human-AI teaming configurations. 42 of 142 • Model assessment and test, evaluation, validation and verification (TEVV) protocols. • Use of standardized documentation and transparency mechanisms. • Software quality assurance practices across AI lifecycle. • Mechanisms to explore system limitations and avoid past failed designs or deployments. • Establish mechanisms to capture feedback from system end users and potentially impacted groups while system is in deployment. • stablish mechanisms to capture feedback from system end users and potentially impacted groups about how changes in system deployment (e.g., introducing new technology, decommissioning algorithms and models, adapting system, model or algorithm) may create negative impacts that are not visible along the AI lifecycle. • Review insurance policies, warranties, or contracts for legal or oversight requirements for risk transfer procedures. • Document risk tolerance decisions and risk acceptance procedures."
MANAGE 2.3,Procedures are followed to respond to and recover from a previously unknown risk when it is identified.,"AI systems – like any technology – can demonstrate non-functionality or failure or unexpected and unusual behavior. They also can be subject to attacks, incidents, or other misuse or abuse – which their sources are not always known apriori. Organizations can establish, document, communicate and maintain treatment procedures to recognize and counter, mitigate and manage risks that were not previously identified.","• Protocols, resources, and metrics are in place for continual monitoring of AI systems’ performance, trustworthiness, and alignment with contextual norms and values • Establish and regularly review treatment and response plans for incidents, negative impacts, or outcomes. • Establish and maintain procedures to regularly monitor system components for drift, decontextualization, or other AI system behavior factors, • Establish and maintain procedures for capturing feedback about negative impacts. • Verify contingency processes to handle any negative impacts associated with mission- critical AI systems, and to deactivate systems. • Enable preventive and post-hoc exploration of AI system limitations by relevant AI actor groups. • Decommission systems that exceed risk tolerances."
MANAGE 2.4,"Mechanisms are in place and applied, responsibilities are assigned and understood to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use.","Performance inconsistent with intended use does not always increase risk or lead to negative impacts. Rigorous TEVV practices are useful for protecting against negative impacts regardless of intended use. When negative impacts do arise, superseding (bypassing), disengaging, or deactivating/decommissioning a model, AI system component(s), or the entire AI system may be necessary, such as when: • a system reaches the end of its lifetime • detected or identified risks exceed tolerance thresholds • adequate system mitigation actions are beyond the organization’s capacity • feasible system mitigation actions do not meet regulatory, legal, norms or standards. • impending risk is detected during continual monitoring, for which feasible mitigation cannot be identified or implemented in a timely fashion. Safely removing AI systems from operation, either temporarily or permanently, under these scenarios requires standard protocols that minimize operational disruption and downstream negative impacts. Protocols can involve redundant or backup systems that are developed in alignment with established system governance policies (see GOVERN 1.7), regulatory compliance, legal frameworks, business requirements and norms and l standards within the application context of use. Decision thresholds and metrics for actions to bypass or deactivate system components are part of continual monitoring procedures. Incidents that result in a bypass/deactivate decision require documentation and review to understand root causes, impacts, and potential opportunities for mitigation and redeployment. Organizations are encouraged to develop risk and change management 49 of 142 protocols that consider and anticipate upstream and downstream consequences of both temporary and/or permanent decommissioning, and provide contingency options.","• Regularly review established procedures for AI system bypass actions, including plans for redundant or backup systems to ensure continuity of operational and/or business functionality. • Regularly review Identify system incident thresholds for activating bypass or deactivation responses. • Apply change management processes to understand the upstream and downstream consequences of bypassing or deactivating an AI system or AI system components. • Apply protocols, resources and metrics for decisions to supersede, bypass or deactivate AI systems or AI system components. • Preserve materials for forensic, regulatory, and legal review. • Conduct internal root cause analysis and process reviews of bypass or deactivation events. • Decommission and preserve system components that cannot be updated to meet criteria for redeployment. • Establish criteria for redeploying updated system components, in consideration of trustworthy characteristics"
MANAGE 3.1,"AI risks and benefits from third-party resources are regularly monitored, and risk controls are applied and documented.","AI systems may depend on external resources and associated processes, including third- party data, software or hardware systems. Third parties’ supplying organizations with components and services, including tools, software, and expertise for AI system design, development, deployment or use can improve efficiency and scalability. It can also increase complexity and opacity, and, in-turn, risk. Documenting third-party technologies, personnel, and resources that were employed can help manage risks. Focusing first and foremost on risks involving physical safety, legal liabilities, regulatory compliance, and negative impacts on individuals, groups, or society is recommended.","• Have legal requirements been addressed? • Apply organizational risk tolerance to third-party AI systems. • Apply and document organizational risk management plans and practices to third-party AI technology, personnel, or other resources. • Identify and maintain documentation for third-party AI systems and components. • Establish testing, evaluation, validation and verification processes for third-party AI systems which address the needs for transparency without exposing proprietary algorithms . • Establish processes to identify beneficial use and risk indicators in third-party systems or components, such as inconsistent software release schedule, sparse documentation, and incomplete software change management (e.g., lack of forward or backward compatibility). • Organizations can establish processes for third parties to report known and potential vulnerabilities, risks or biases in supplied resources. • Verify contingency processes for handling negative impacts associated with mission- critical third-party AI systems. • Monitor third-party AI systems for potential negative impacts and risks associated with trustworthiness characteristics. • Decommission third-party systems that exceed risk tolerances."
MANAGE 3.2,Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance.,"A common approach in AI development is transfer learning, whereby an existing pre- trained model is adapted for use in a different, but related application. AI actors in development tasks often use pre-trained models from third-party entities for tasks such as image classification, language prediction, and entity recognition, because the resources to build such models may not be readily available to most organizations. Pre-trained models are typically trained to address various classification or prediction problems, using exceedingly large datasets and computationally intensive resources. The use of pre-trained models can make it difficult to anticipate negative system outcomes or impacts. Lack of documentation or transparency tools increases the difficulty and general complexity when deploying pre-trained models and hinders root cause analyses.","• Identify pre-trained models within AI system inventory for risk tracking. • Establish processes to independently and continually monitor performance and trustworthiness of pre-trained models, and as part of third-party risk tracking. • Monitor performance and trustworthiness of AI system components connected to pre- trained models, and as part of third-party risk tracking. • Identify, document and remediate risks arising from AI system components and pre- trained models per organizational risk management procedures, and as part of third- party risk tracking. • Decommission AI system components and pre-trained models which exceed risk tolerances, and as part of third-party risk tracking. 52 of 142"
MANAGE 4.1,"Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI actors, appeal and override, decommissioning, incident response, recovery, and change management.","AI system performance and trustworthiness can change due to a variety of factors. Regular AI system monitoring can help deployers identify performance degradations, adversarial attacks, unexpected and unusual behavior, near-misses, and impacts. Including pre- and post-deployment external feedback about AI system performance can enhance organizational awareness about positive and negative impacts, and reduce the time to respond to risks and harms.","• Establish and maintain procedures to monitor AI system performance for risks and negative and positive impacts associated with trustworthiness characteristics. • Perform post-deployment TEVV tasks to evaluate AI system validity and reliability, bias and fairness, privacy, and security and resilience. • Evaluate AI system trustworthiness in conditions similar to deployment context of use, and prior to deployment. • Establish and implement red-teaming exercises at a prescribed cadence, and evaluate their efficacy. 53 of 142 • Establish procedures for tracking dataset modifications such as data deletion or rectification requests. • Establish mechanisms for regular communication and feedback between relevant AI actors and internal or external stakeholders to capture information about system performance, trustworthiness and impact. • Share information about errors, near-misses, and attack patterns with incident databases, other organizations with similar systems, and system users and stakeholders. • Respond to and document detected or reported negative impacts or issues in AI system performance and trustworthiness. • Decommission systems that exceed establish risk tolerances."
MANAGE 4.2,"Measurable activities for continual improvements are integrated into AI system updates and include regular engagement with interested parties, including relevant AI actors.","Regular monitoring processes enable system updates to enhance performance and functionality in accordance with regulatory and legal frameworks, and organizational and contextual values and norms. These processes also facilitate analyses of root causes, system degradation, drift, near-misses, and failures, and incident response and documentation. AI actors across the lifecycle have many opportunities to capture and incorporate external feedback about system performance, limitations, and impacts, and implement continuous improvements. Improvements may not always be to model pipeline or system processes, and may instead be based on metrics beyond accuracy or other quality performance measures. In these cases, improvements may entail adaptations to business or organizational procedures or practices. Organizations are encouraged to develop 54 of 142 improvements that will maintain traceability and transparency for developers, end users, auditors, and relevant AI actors.","• Integrate trustworthiness characteristics into protocols and metrics used for continual improvement. • Establish processes for evaluating and integrating feedback into AI system improvements. • Assess and evaluate alignment of proposed improvements with relevant regulatory and legal frameworks • Assess and evaluate alignment of proposed improvements connected to the values and norms within the context of use. • Document the basis for decisions made relative to tradeoffs between trustworthy characteristics, system risks, and system opportunities"
MANAGE 4.3,"Incidents and errors are communicated to relevant AI actors including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented.","Regularly documenting an accurate and transparent account of identified and reported errors can enhance AI risk management activities., Examples include: • how errors were identified, • incidents related to the error, • whether the error has been repaired, and • how repairs can be distributed to all impacted stakeholders and users.","• Establish procedures to regularly share information about errors, incidents and negative impacts with relevant stakeholders, operators, practitioners and users, and impacted parties. • Maintain a database of reported errors, near-misses, incidents and negative impacts including date reported, number of reports, assessment of impact and severity, and responses. • Maintain a database of system changes, reason for change, and details of how the change was made, tested and deployed. • Maintain version history information and metadata to enable continuous improvement processes. • Verify that relevant AI actors responsible for identifying complex or emergent risks are properly resourced and empowered."
MAP 1.1,"Intended purpose, potentially beneficial uses, context-specific laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: specific set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes; uses and risks across the development or product AI lifecycle; TEVV and system metrics.","Highly accurate and optimized systems can cause harm. Relatedly, organizations should expect broadly deployed AI tools to be reused, repurposed, and potentially misused regardless of intentions. AI actors can work collaboratively, and with external parties such as community groups, to help delineate the bounds of acceptable deployment, consider preferable alternatives, and identify principles and strategies to manage likely risks. Context mapping is the first step in this effort, and may include examination of the following: • intended purpose and impact of system use. • concept of operations. • intended, prospective, and actual deployment setting. • requirements for system deployment and operation. • end user and operator expectations. • specific set or types of end users. • potential negative impacts to individuals, groups, communities, organizations, and society – or context-specific impacts such as legal requirements or impacts to the environment. • unanticipated, downstream, or other unknown contextual factors. • how AI system changes connect to impacts. These types of processes can assist AI actors in understanding how limitations, constraints, and other realities associated with the deployment and use of AI technology can create impacts once they are deployed or operate in the real world. When coupled with the enhanced organizational culture resulting from the established policies and procedures in the Govern function, the Map function can provide opportunities to foster and instill new perspectives, activities, and skills for approaching risks and impacts. Context mapping also includes discussion and consideration of non-AI or non-technology alternatives especially as related to whether the given context is narrow enough to manage 58 of 142 AI and its potential negative impacts. Non-AI alternatives may include capturing and evaluating information using semi-autonomous or mostly-manual methods.","• Maintain awareness of industry, technical, and applicable legal standards. • Examine trustworthiness of AI system design and consider, non-AI solutions • Consider intended AI system design tasks along with unanticipated purposes in collaboration with human factors and socio-technical domain experts. • Define and document the task, purpose, minimum functionality, and benefits of the AI system to inform considerations about whether the utility of the project or its lack of. • Identify whether there are non-AI or non-technology alternatives that will lead to more trustworthy outcomes. • Examine how changes in system performance affect downstream events such as decision-making (e.g: changes in an AI model objective function create what types of impacts in how many candidates do/do not get a job interview). • Determine actions to map and track post-decommissioning stages of AI deployment and potential negative or positive impacts to individuals, groups and communities. • Determine the end user and organizational requirements, including business and technical requirements. • Determine and delineate the expected and acceptable AI system context of use, including: • social norms • Impacted individuals, groups, and communities • potential positive and negative impacts to individuals, groups, communities, organizations, and society • operational environment • Perform context analysis related to time frame, safety concerns, geographic area, physical environment, ecosystems, social environment, and cultural norms within the intended setting (or conditions that closely approximate the intended setting. • Gain and maintain awareness about evaluating scientific claims related to AI system performance and benefits before launching into system design. • Identify human-AI interaction and/or roles, such as whether the application will support or replace human decision making. • Plan for risks related to human-AI configurations, and document requirements, roles, and responsibilities for human oversight of deployed systems."
MAP 1.2,"Inter-disciplinary AI actors, competencies, skills and capacities for establishing context reflect demographic diversity and broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary collaboration are prioritized.","Successfully mapping context requires a team of AI actors with a diversity of experience, expertise, abilities and backgrounds, and with the resources and independence to engage in critical inquiry. Having a diverse team contributes to more broad and open sharing of ideas and assumptions about the purpose and function of the technology being designed and developed – making these implicit aspects more explicit. The benefit of a diverse staff in managing AI risks is not the beliefs or presumed beliefs of individual workers, but the behavior that results from a collective perspective. An environment which fosters critical inquiry creates opportunities to surface problems and identify existing and emergent risks.","• Establish interdisciplinary teams to reflect a wide range of skills, competencies, and capabilities for AI efforts. Verify that team membership includes demographic diversity, broad domain expertise, and lived experiences. Document team composition. • Create and empower interdisciplinary expert teams to capture, learn, and engage the interdependencies of deployed AI systems and related terminologies and concepts from disciplines outside of AI practice such as law, sociology, psychology, anthropology, public policy, systems design, and engineering."
MAP 1.3,The organization’s mission and relevant goals for the AI technology are understood and documented. 63 of 142,"Defining and documenting the specific business purpose of an AI system in a broader context of societal values helps teams to evaluate risks and increases the clarity of “go/no- go” decisions about whether to deploy. Trustworthy AI technologies may present a demonstrable business benefit beyond implicit or explicit costs, provide added value, and don't lead to wasted resources. Organizations can feel confident in performing risk avoidance if the implicit or explicit risks outweigh the advantages of AI systems, and not implementing an AI solution whose risks surpass potential benefits. For example, making AI systems more equitable can result in better managed risk, and can help enhance consideration of the business value of making inclusively designed, accessible and more equitable AI systems.","• Build transparent practices into AI system development processes. • Review the documented system purpose from a socio-technical perspective and in consideration of societal values. • Determine possible misalignment between societal values and stated organizational principles and code of ethics. • Flag latent incentives that may contribute to negative impacts. • Evaluate AI system purpose in consideration of potential risks, societal values, and stated organizational principles."
MAP 1.4,The business value or context of business use has been clearly defined or – in the case of assessing existing AI systems – re-evaluated.,"Socio-technical AI risks emerge from the interplay between technical development decisions and how a system is used, who operates it, and the social context into which it is deployed. Addressing these risks is complex and requires a commitment to understanding how contextual factors may interact with AI lifecycle actions. One such contextual factor is how organizational mission and identified system purpose create incentives within AI system design, development, and deployment tasks that may result in positive and negative impacts. By establishing comprehensive and explicit enumeration of AI systems’ context of of business use and expectations, organizations can identify and manage these types of risks.","• Document business value or context of business use • Reconcile documented concerns about the system’s purpose within the business context of use compared to the organization’s stated values, mission statements, social responsibility commitments, and AI principles. • Reconsider the design, implementation strategy, or deployment of AI systems with potential impacts that do not reflect institutional values."
MAP 1.5,Organizational risk tolerances are determined and documented.,"Risk tolerance reflects the level and type of risk the organization is willing to accept while conducting its mission and carrying out its strategy. Organizations can follow existing regulations and guidelines for risk criteria, tolerance and response established by organizational, domain, discipline, sector, or professional requirements. Some sectors or industries may have established definitions of harm or may have established documentation, reporting, and disclosure requirements. Within sectors, risk management may depend on existing guidelines for specific applications and use case settings. Where established guidelines do not exist, organizations will want to define reasonable risk tolerance in consideration of different sources of risk (e.g., financial, operational, safety and wellbeing, business, reputational, and model risks) and different levels of risk (e.g., from negligible to critical). Risk tolerances inform and support decisions about whether to continue with development or deployment - termed “go/no-go”. Go/no-go decisions related to AI system risks can take stakeholder feedback into account, but remain independent from stakeholders’ vested financial or reputational interests. If mapping risk is prohibitively difficult, a ""no-go"" decision may be considered for the specific system.","• Utilize existing regulations and guidelines for risk criteria, tolerance and response established by organizational, domain, discipline, sector, or professional requirements. 66 of 142 • Establish risk tolerance levels for AI systems and allocate the appropriate oversight resources to each level. • Establish risk criteria in consideration of different sources of risk, (e.g., financial, operational, safety and wellbeing, business, reputational, and model risks) and different levels of risk (e.g., from negligible to critical). • Identify maximum allowable risk tolerance above which the system will not be deployed, or will need to be prematurely decommissioned, within the contextual or application setting. • Articulate and analyze tradeoffs across trustworthiness characteristics as relevant to proposed context of use. When tradeoffs arise, document them and plan for traceable actions (e.g.: impact mitigation, removal of system from development or use) to inform management decisions. • Review uses of AI systems for “off-label” purposes, especially in settings that organizations have deemed as high-risk. Document decisions, risk-related trade-offs, and system limitations."
MAP 1.6,"System requirements (e.g., “the system shall respect the privacy of its users”) are elicited from and understood by relevant AI actors. Design decisions take socio-technical implications into account to address AI risks.","AI system development requirements may outpace documentation processes for traditional software. When written requirements are unavailable or incomplete, AI actors may inadvertently overlook business and stakeholder needs, over-rely on implicit human biases such as confirmation bias and groupthink, and maintain exclusive focus on computational requirements. Eliciting system requirements, designing for end users, and considering societal impacts early in the design phase is a priority that can enhance AI systems’ trustworthiness.","• Proactively incorporate trustworthy characteristics into system requirements. • Establish mechanisms for regular communication and feedback between relevant AI actors and internal or external stakeholders related to system design or deployment decisions. • Develop and standardize practices to assess potential impacts at all stages of the AI lifecycle, and in collaboration with interdisciplinary experts, actors external to the team that developed or deployed the AI system, and potentially impacted communities . • Include potentially impacted groups, communities and external entities (e.g. civil society organizations, research institutes, local community groups, and trade associations) in the formulation of priorities, definitions and outcomes during impact assessment activities. • Conduct qualitative interviews with end user(s) to regularly evaluate expectations and design plans related to Human-AI configurations and tasks. • Analyze dependencies between contextual factors and system requirements. List potential impacts that may arise from not fully considering the importance of trustworthiness characteristics in any decision making. • Follow responsible design techniques in tasks such as software engineering, product management, and participatory engagement. Some examples for eliciting and documenting stakeholder requirements include product requirement documents (PRDs), user stories, user interaction/user experience (UI/UX) research, systems engineering, ethnography and related field methods. 68 of 142 • Conduct user research to understand individuals, groups and communities that will be impacted by the AI, their values & context, and the role of systemic and historical biases. Integrate learnings into decisions about data selection and representation."
MAP 2.1,"The specific task, and methods used to implement the task, that the AI system will support is defined (e.g., classifiers, generative models, recommenders).","AI actors define the technical learning or decision-making task(s) an AI system is designed to accomplish, or the benefits that the system will provide. The clearer and narrower the task definition, the easier it is to map its benefits and risks, leading to more fulsome risk management.",• Define and document AI system’s existing and potential learning task(s) along with known assumptions and limitations.
MAP 2.2,Information about the AI system’s knowledge limits and how system output may be utilized and overseen by humans is documented. Documentation provides sufficient information to assist relevant AI actors when making informed decisions and taking subsequent actions.,"An AI lifecycle consists of many interdependent activities involving a diverse set of actors that often do not have full visibility or control over other parts of the lifecycle and its associated contexts or risks. The interdependencies between these activities, and among the relevant AI actors and organizations, can make it difficult to reliably anticipate potential impacts of AI systems. For example, early decisions in identifying the purpose and objective of an AI system can alter its behavior and capabilities, and the dynamics of deployment setting (such as end users or impacted individuals) can shape the positive or negative impacts of AI system decisions. As a result, the best intentions within one dimension of the AI lifecycle can be undermined via interactions with decisions and conditions in other, later activities. This complexity and varying levels of visibility can introduce uncertainty. And, once deployed and in use, AI systems may sometimes perform poorly, manifest unanticipated negative impacts, or violate legal or ethical norms. These risks and incidents can result from a variety of factors. For example, downstream decisions can be influenced by end user over-trust or under-trust, and other complexities related to AI-supported decision-making. Anticipating, articulating, assessing and documenting AI systems’ knowledge limits and how system output may be utilized and overseen by humans can help mitigate the uncertainty associated with the realities of AI system deployments. Rigorous design processes include defining system knowledge limits, which are confirmed and refined based on TEVV processes.","• Document settings, environments and conditions that are outside the AI system’s intended use. 71 of 142 • Design for end user workflows and toolsets, concept of operations, and explainability and interpretability criteria in conjunction with end user(s) and associated qualitative feedback. • Plan and test human-AI configurations under close to real-world conditions and document results. • Follow stakeholder feedback processes to determine whether a system achieved its documented purpose within a given use context, and whether end users can correctly comprehend system outputs or results. • Document dependencies on upstream data and other AI systems, including if the specified system is an upstream dependency for another AI system or other data. • Document connections the AI system or data will have to external networks (including the internet), financial markets, and critical infrastructure that have potential for negative externalities. Identify and document negative impacts as part of considering the broader risk thresholds and subsequent go/no-go deployment as well as post- deployment decommissioning decisions."
MAP 2.3,"Scientific integrity and TEVV considerations are identified and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation.","Standard testing and evaluation protocols provide a basis to confirm assurance in a system that it is operating as designed and claimed. AI systems’ complexities create challenges for traditional testing and evaluation methodologies, which tend to be designed for static or isolated system performance. Opportunities for risk continue well beyond design and deployment, into system operation and application of system-enabled decisions. Testing and evaluation methodologies and metrics therefore address a continuum of activities. TEVV is enhanced when key metrics for performance, safety, and reliability are interpreted in a socio-technical context and not confined to the boundaries of the AI system pipeline. Other challenges for managing AI risks relate to dependence on large scale datasets, which can impact data quality and validity concerns. The difficulty of finding the “right” data may lead AI actors to select datasets based more on accessibility and availability than on suitability for operationalizing the phenomenon that the AI system intends to support or inform. Such decisions could contribute to an environment where the data used in processes is not fully representative of the populations or phenomena that are being modeled, introducing downstream risks. Practices such as dataset reuse may also lead to disconnect from the social contexts and time periods of their creation. This contributes to issues of validity of the underlying dataset for providing proxies, measures, or predictors within the model.","• Identify and document experiment design and statistical techniques that are valid for testing complex socio-technical systems like AI, which involve human factors, emergent properties, and dynamic context(s) of use. • Develop and apply TEVV protocols for models, system and its subcomponents, deployment, and operation. • Demonstrate and document that AI system performance and validation metrics are interpretable and unambiguous for downstream decision making tasks, and take socio- technical factors such as context of use into consideration. • Identify and document assumptions, techniques, and metrics used for testing and evaluation throughout the AI lifecycle including experimental design techniques for data collection, selection, and management practices in accordance with data governance policies established in GOVERN. 74 of 142 • Identify testing modules that can be incorporated throughout the AI lifecycle, and verify that processes enable corroboration by independent evaluators. • Establish mechanisms for regular communication and feedback among relevant AI actors and internal or external stakeholders related to the validity of design and deployment assumptions. • Establish mechanisms for regular communication and feedback between relevant AI actors and internal or external stakeholders related to the development of TEVV approaches throughout the lifecycle to detect and assess potentially harmful impacts • Document assumptions made and techniques used in data selection, curation, preparation and analysis, including: • identification of constructs and proxy targets, • development of indices – especially those operationalizing concepts that are inherently unobservable (e.g. “hireability,” “criminality.” “lendability”). • Map adherence to policies that address data and construct validity, bias, privacy and security for AI systems and verify documentation, oversight, and processes. • Identify and document transparent methods (e.g. causal discovery methods) for inferring causal relationships between constructs being modeled and dataset attributes or proxies. • Identify and document processes to understand and trace test and training data lineage and its metadata resources for mapping risks. • Document known limitations, risk mitigation efforts associated with, and methods used for, training data collection, selection, labeling, cleaning, and analysis (e.g. treatment of missing, spurious, or outlier data; biased estimators). • Establish and document practices to check for capabilities that are in excess of those that are planned for, such as emergent properties, and to revisit prior risk management steps in light of any new capabilities. • Establish processes to test and verify that design assumptions about the set of deployment contexts continue to be accurate and sufficiently complete. • Work with domain experts and other external AI actors to: • Gain and maintain contextual awareness and knowledge about how human behavior, organizational factors and dynamics, and society influence, and are represented in, datasets, processes, models, and system output. • Identify participatory approaches for responsible Human-AI configurations and oversight tasks, taking into account sources of cognitive bias. • Identify techniques to manage and mitigate sources of bias (systemic, computational, human- cognitive) in computational models and systems, and the assumptions and decisions in their development.. • Investigate and document potential negative impacts due related to the full product lifecycle and associated processes that may conflict with organizational values and principles. 75 of 142"
MAP 3.1,Potential benefits of intended AI system functionality and performance are examined and documented. 77 of 142,"AI systems have enormous potential to improve quality of life, enhance economic prosperity and security costs. Organizations are encouraged to define and document system purpose and utility, and its potential positive impacts and benefits beyond current known performance benchmarks. It is encouraged that risk management and assessment of benefits and impacts include processes for regular and meaningful communication with potentially affected groups and communities. These stakeholders can provide valuable input related to systems’ benefits and possible limitations. Organizations may differ in the types and number of stakeholders with which they engage. Other approaches such as human-centered design (HCD) and value-sensitive design (VSD) can help AI teams to engage broadly with individuals and communities. This type of engagement can enable AI teams to learn about how a given technology may cause positive or negative impacts, that were not originally considered or intended.","• Utilize participatory approaches and engage with system end users to understand and document AI systems’ potential benefits, efficacy and interpretability of AI task output. • Maintain awareness and documentation of the individuals, groups, or communities who make up the system’s internal and external stakeholders. • Verify that appropriate skills and practices are available in-house for carrying out participatory activities such as eliciting, capturing, and synthesizing user, operator and external feedback, and translating it for AI design and development functions. • Establish mechanisms for regular communication and feedback between relevant AI actors and internal or external stakeholders related to system design or deployment decisions. • Consider performance to human baseline metrics or other standard benchmarks. • Incorporate feedback from end users, and potentially impacted individuals and communities about perceived system benefits ."
MAP 3.2,"Potential costs, including non-monetary costs, which result from expected or realized AI errors or system functionality and trustworthiness - as connected to organizational risk tolerance - are examined and documented.","Anticipating negative impacts of AI systems is a difficult task. Negative impacts can be due to many factors, such as system non-functionality or use outside of its operational limits, and may range from minor annoyance to serious injury, financial losses, or regulatory enforcement actions. AI actors can work with a broad set of stakeholders to improve their capacity for understanding systems’ potential impacts – and subsequently – systems’ risks.","• Perform context analysis to map potential negative impacts arising from not integrating trustworthiness characteristics. When negative impacts are not direct or obvious, AI actors can engage with stakeholders external to the team that developed or deployed the AI system, and potentially impacted communities, to examine and document: • Who could be harmed? • What could be harmed? • When could harm arise? • How could harm arise? 79 of 142 • Identify and implement procedures for regularly evaluating the qualitative and quantitative costs of internal and external AI system failures. Develop actions to prevent, detect, and/or correct potential risks and related impacts. Regularly evaluate failure costs to inform go/no-go deployment decisions throughout the AI system lifecycle."
MAP 3.3,"Targeted application scope is specified and documented based on the system’s capability, established context, and AI system categorization. 80 of 142","Systems that function in a narrow scope tend to enable better mapping, measurement, and management of risks in the learning or decision-making tasks and the system context. A narrow application scope also helps ease TEVV functions and related resources within an organization. For example, large language models or open-ended chatbot systems that interact with the public on the internet have a large number of risks that may be difficult to map, measure, and manage due to the variability from both the decision-making task and the operational context. Instead, a task-specific chatbot utilizing templated responses that follow a defined “user journey” is a scope that can be more easily mapped, measured and managed.","• Consider narrowing contexts for system deployment, including factors related to: • How outcomes may directly or indirectly affect users, groups, communities and the environment. • Length of time the system is deployed in between re-trainings. • Geographical regions in which the system operates. • Dynamics related to community standards or likelihood of system misuse or abuses (either purposeful or unanticipated). • How AI system features and capabilities can be utilized within other applications, or in place of other existing processes. • Engage AI actors from legal and procurement functions when specifying target application scope."
MAP 3.4,"Processes for operator and practitioner proficiency with AI system performance and trustworthiness – and relevant technical standards and certifications – are defined, assessed and documented.","Human-AI configurations can span from fully autonomous to fully manual. AI systems can autonomously make decisions, defer decision-making to a human expert, or be used by a human decision-maker as an additional opinion. In some scenarios, professionals with expertise in a specific domain work in conjunction with an AI system towards a specific end goal—for example, a decision about another individual(s). Depending on the purpose of the system, the expert may interact with the AI system but is rarely part of the design or development of the system itself. These experts are not necessarily familiar with machine learning, data science, computer science, or other fields traditionally associated with AI design or development and - depending on the application - will likely not require such familiarity. For example, for AI systems that are deployed in health care delivery the experts are the physicians and bring their expertise about medicine—not data science, data modeling and engineering, or other computational factors. The challenge in these settings is not educating the end user about AI system capabilities, but rather leveraging, and not replacing, practitioner domain expertise. Questions remain about how to configure humans and automation for managing AI risks. Risk management is enhanced when organizations that design, develop or deploy AI systems for use by professional operators and practitioners: • are aware of these knowledge limitations and strive to identify risks in human-AI interactions and configurations across all contexts, and the potential resulting impacts, • define and differentiate the various human roles and responsibilities when using or interacting with AI systems, and • determine proficiency standards for AI system operation in proposed context of use, as enumerated in MAP-1 and established in GOVERN-3.2.","• Identify and declare AI system features and capabilities that may affect downstream AI actors’ decision-making in deployment and operational settings for example how system features and capabilities may activate known risks in various human-AI configurations, such as selective adherence. • Identify skills and proficiency requirements for operators, practitioners and other domain experts that interact with AI systems,Develop AI system operational 82 of 142 documentation for AI actors in deployed and operational environments, including information about known risks, mitigation criteria, and trustworthy characteristics enumerated in Map-1. • Define and develop training materials for proposed end users, practitioners and operators about AI system use and known limitations. • Define and develop certification procedures for operating AI systems within defined contexts of use, and information about what exceeds operational boundaries. • Include operators, practitioners and end users in AI system prototyping and testing activities to help inform operational boundaries and acceptable performance. Conduct testing activities under scenarios similar to deployment conditions. • Verify model output provided to AI system operators, practitioners and end users is interactive, and specified to context and user requirements defined in MAP-1. • Verify AI system output is interpretable and unambiguous for downstream decision making tasks. • Design AI system explanation complexity to match the level of problem and context complexity. • Verify that design principles are in place for safe operation by AI actors in decision- making environments. • Develop approaches to track human-AI configurations, operator, and practitioner outcomes for integration into continual improvement."
